journalID,name
8y4kmdsx,Science Journal (2021)
li4at7xd,Science Review (2021)
5619586e-de5a-4bc3-ac80-04dd8530d80c,Nature Biomedical Engineering
c4658fe7-adac-4160-badc-2c3f50929b38,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations"
123b5caf-1ba4-48cc-937f-05ac75234c32,Biomaterials Research
43b3f0f9-489a-4566-8164-02fafde3cd98,Nature Communications
273c65cc-505e-4dfd-b480-33486bb11a9f,SN Social Sciences
ab0am9cx,Computer Science Review (2018)
3e128b93-b14f-4564-bc3b-80773f3f8c8a,A M A Archives of Internal Medicine
ea9d4180-f603-445c-b59a-5aaada9d4d83,Annals of Biomedical Engineering
l7qeoq76,Computer Science Journal (2021)
bqck5fw9,Science Magazine (2022)
856e61df-ae80-4713-a1f1-6afd81e6e2b1,Scholarpedia
3779c0e7-59c0-47d3-8af7-8b17bf70e2eb,Neuropsychologia
863dfa88-065a-4a50-839e-151fd43c9345,Advanced Drug Delivery Reviews
12fff95b-d469-49a0-84a5-4fd4696c3f28,Knowledge-Based Systems
bf2f9688-933d-44b9-9cd5-c738ddf60c56,Studies in Computational Intelligence
424be4c6-0550-4f1d-91ca-08f8ef523c47,JAMA Health Forum
f4869305-2623-4e2d-941f-6e0bad37617f,International Research in Geographical and Environmental Education
x4a9uf81,Sociology Review (2014)
96ed79e9-36b2-4f58-8ef2-67296adef647,AI and Ethics
e46002a1-d7a6-4681-aae9-36bc3a6a1f93,Information Sciences
138e58fc-8643-41c2-a92c-068ea4f4c607,PeerJ Computer Science
c9ec8f1c-d8e0-4555-b6ca-a068b79b1e40,Business & Information Systems Engineering
b9dfd829-7120-485e-ac4c-643568196120,Revista Interuniversitaria de Investigación en Tecnología Educativa
9469269e-53d7-4955-b1a5-17a75bee7634,Current Biology
ypgagdjm,Computer Science Review (2018)
89097a03-8be6-4e2d-ae2c-a6df64c77a06,Frontiers in Psychology
14hguxt8,Engineering Magazine (1993)
10db4762-aaa0-41a8-b549-c04eb0331097,Philosophical Review
435ffef1-21df-491d-b69a-605eee1b7f7f,Computers in Human Behavior
8lf00361,Science Review (2024)
m3yy2thl,Science Review (2021)
2183055b-fd1f-45ea-8856-e6cd74296fd9,Organization Studies
05528bac-d212-46a6-9c84-314d4bd77368,International Journal of Intelligent Systems
08d7cf5a-27a7-438e-ad01-c6724b828bfb,Wireless personal communications
osa84wrv,Computer Science Magazine (2022)
d0ca30fa-58a2-4a67-af79-b9bc09e3bbe0,Journal of the Knowledge Economy
tty2di67,Medicine Magazine (2022)
9lpiq1eh,Computer Science Journal (2021)
76da9cc5-c5a7-42b4-a250-3e708c5f4980,BMC Medical Informatics and Decision Making
sciz03o7,Science Journal (2023)
182090fa-e886-41f3-8590-443a006fb02f,Agriculture
eghn3r6a,Materials Science Magazine (2021)
4293c8e8-8cd7-4be6-b8b2-69f2b4fa3259,Computer Applications in Engineering Education
7ff4940b-ba2a-4dcb-baef-058fe7cbee7e,Applied Economics Letters
bb28e951-d445-482f-a892-f62ee52d3221,Pakistan Journal of Medical Sciences
plb5v7kk,Computer Science Review (2019)
f99f77b7-b1b6-44d3-984a-f288e9884b9b,Scientific Reports
ee2dd599-75c3-4b69-b970-053972631b37,Big Data Research
e3e1f91c-fe26-4f67-8d15-f7acd8abdf42,Future generations computer systems
2fdfe175-3318-450b-b6f8-985bf98db9be,International Journal of Philosophical Studies
82hgc92a,Art Review (1988)
b266d280-98ad-42f3-a028-bc3ab1233cea,Alexandria Engineering Journal
002e1b1d-22ab-466e-9333-587d6ba639ec,Sensors International
7721aa7e-caef-4ef9-904f-d5194d57e0de,The Lancet Digital Health
4cbe8a01-c911-47ee-afc1-5bd387216dcc,Journal of Medical Ethics
o2c98n3q,Psychology Journal (2017)
72390b02-108e-40d6-a989-7293b779f864,Social Science & Medicine (1967)
coarq5jp,Computer Science Magazine (2022)
4b3740a7-d00b-4c95-8078-226fc08ce05b,Neurology
299j3h15,Computer Science Review (2021)
a3f604cd-82e8-4fde-a427-1038e9c5f8b2,Information Security Education Journal (ISEJ)
bb95bf2e-8383-4748-bf9d-d6906d091085,Proceedings of the National Academy of Sciences of the United States of America
2889ff42-55b9-41f5-a8b7-0a528c255f7b,Biochemical engineering journal
kn4u370v,Medicine Magazine (2017)
136edf8d-0f88-4c2c-830f-461c6a9b842e,Applied Sciences
diqe61ff,Political Science Journal (2020)
987139ae-a65d-49bb-aaf6-fb764dc40b19,Expert systems with applications
a13f3cb8-2492-4ccb-9329-73a5ddcaab9b,Neural Networks
uhuvwssv,Computer Science Journal (2019)
6457124b-39bf-4d02-bff4-73752ff21562,Nature Machine Intelligence
twg6pyt5,Science Journal (2023)
ba627f0e-abf9-4f01-8146-73118f4ebaf9,The Lancet
zjidp3mv,Medicine Magazine (2021)
e7605243-f7dd-489c-bc27-d02ae5cc5625,Australian Occupational Therapy Journal
8e70efcb-1b0e-4010-b4d8-98cbdbf154c9,EPRA international journal of multidisciplinary research
276d7bea-ee2b-40ae-94d2-77eba808f1bf,European Actuarial Journal
2esdwkgh,Science Review (2022)
a990ee76-444c-4bda-b714-df4dad0efa5d,Psychology Science
993cd610-96fa-45d4-8403-43431dde4c8b,Journal of Materials Research and Technology
361ced39-bad1-4857-ad42-deea2143c445,Ratio
666e1b2f-6010-4013-8eef-a73479368d2c,Journal of general internal medicine
396750b3-c753-4765-b283-ca20a4ddd616,Neurosurgery
3f16aef5-6b9f-4f87-baca-cbf8147e352f,Journal of Chemical Information and Modeling
1cc63754-ee7f-40ba-a31f-cff494e20f72,Computer Communications
2ae18de8-1e0b-4f92-9aa3-866ffc4f36e7,Medicine
cmyalhos,Computer Science Magazine (2021)
9eb83669-63d8-43be-9246-1c7ef8165b59,Annals of Actuarial Science
k3tc9tlw,Science Magazine (2021)
ca61b508-d706-40a4-8b54-d657dd6cd9d6,ACM Transactions on Knowledge Discovery from Data
afc671d3-1826-4efe-8bcb-16bf1cadbb87,World Neurosurgery
r7bshfn4,Science Magazine (2021)
ebd38f08-32e6-40af-97cb-d1cac716e075,Archives of Pathology & Laboratory Medicine
77240f5e-0763-4ec7-a494-1aa161244445,Clinical Orthopaedics and Related Research
bd7cf538-b981-449d-9e6c-64fa64047126,Philosophy & Technology
vkv4k5q3,Science Journal (2020)
5e1f6444-5d03-48c7-b202-7f47d492aeae,IEEE Transactions on Visualization and Computer Graphics
1bac31b4-014a-4981-ae41-af2a40acc162,Biomedical Signal Processing and Control
nzpnpbkm,Computer Science Review (2022)
09961571-776b-4c90-add9-88915e6d2202,Waste Management
10bf1973-9b22-4866-80a9-9862d4dd041c,Computational Statistics & Data Analysis
r815gw9p,Science Review (2022)
c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering
62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data
a60180c7-29d7-42fe-9523-3112be85aae3,Journal of Food Quality
z1vyremo,Sociology Review (2020)
s22qf1ji,Engineering Journal (2020)
3096eb5c-d18c-4877-94cd-28edd3a9c357,International Journal of Environmental Research and Public Health
81ebded9-fad7-44d4-8920-b9d209674bfb,Australasian Journal of Educational Technology
x2m6mw84,Business Journal (2020)
1944b6e1-2c1d-4f42-88e3-9f8a52f57e47,Diagnostics
6c206cec-b6d6-4d8a-bfe2-266d05cd6a52,Journal of Material Cycles and Waste Management
5kxz3hse,Computer Science Magazine (2023)
2f5d0e8a-faad-4f10-b323-2b2e3c439a78,Lecture Notes in Computer Science
43b0b0ab-e495-44bd-a3a2-fd7d662168fd,Research in Social and Administrative Pharmacy
37555ef6-5b69-4ae8-a9b3-f2052c7552a5,Advances in Multimedia
8cd0658b-273f-4a78-9262-bae6eea40607,Journal of the American College of Cardiology
1mnovpgs,Medicine Review (2023)
ade8045e-0dc9-4acc-9edc-96126cdb9215,Journal of Research on Technology in Education
32505816-936f-497d-8f3c-ee241a290329,"Soft Computing - A Fusion of Foundations, Methodologies and Applications"
7ae924bb,Medicine Magazine (2021)
e5ktmt2t,Computer Science Review (2022)
68weu7ju,Computer Science Magazine (2022)
71s0785i,Computer Science Magazine (2021)
udzxec57,Psychology Review (2015)
d923mn6s,Science Magazine (2023)
708a1dbd-6269-4131-b622-e609d36ce3c9,Nature Nanotechnology
d0bfb97a-a20e-4896-9afe-1e63e459db20,Smart Cities
sfy6iuet,Computer Science Journal (2022)
vx0xiqjy,Science Magazine (2022)
51fb14f6,Computer Science Review (2022)
r7hvcbqh,Science Review (2021)
eedb1527-2aee-4def-bdb2-20fca9c12c3d,Risks
bc946b89-5188-4a8f-b9b6-61b71dd9fccc,Journal of Network and Computer Applications
3a6a506a-7577-4f58-be4a-b4f786c2b892,Computing and Software for Big Science
1dfcf1f0-80c5-4324-b2a5-b12ae03ea631,Journal of Artificial General Intelligence
wegoopid,Medicine Review (2016)
477368e9-7a8e-475a-8c93-6d623797fd06,Multimedia tools and applications
97033a25-f03c-4ad0-aef7-a1ff724d264d,Science and Engineering Ethics
2ca1e2ac-8c3b-4251-94ed-24846d391d3b,Computational and Mathematical Methods in Medicine
ea6f8e73-16d8-4fe3-84e3-d8e396737c19,Management Sciences
e9143cef-f388-4a2d-a45b-ff3122269f76,Journal of Thoracic and Cardiovascular Surgery
2294caa9-0a4e-478e-9cad-c0218907d492,Intensive Care Medicine
09bb329a-45bc-4561-860f-c8ac0e958895,Ethics and Information Technology
85026124-2f50-4044-92e0-c49467227f68,Telematics and informatics
2baad992-2268-4c38-9120-e453622f2eeb,Journal of Medical Internet Research
gimxz90s,Mathematics Magazine (1994)
7d6e169b-14ba-4ed2-9886-ce01ffd69027,European Journal of Nuclear Medicine and Molecular Imaging
ak58sogr,Political Science Review (2019)
bec319f9-aa79-4ee1-9167-857f604c79eb,Journal of Labor Economics
f22ubgp3,Political Science Review (2017)
309e00f7-4bbd-461f-ab37-a90cd14ef21d,IEEE/ACM Transactions on Audio Speech and Language Processing
d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data
adiugpz5,Computer Science Journal (2018)
f9c1272f-e8c2-4e8c-bdae-fc9c2bb2cb85,Archives of Computational Methods in Engineering
g3t94qzc,Sociology Review (2015)
40d6d72b-fb7c-4fa0-98c0-2f72f340fed4,Iraqi Journal for Computers and Informatics
f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews
6jp37ulx,Economics Journal (2017)
b08588b2-9ba8-4469-a6d4-f0b88977b64f,Journal of Evidence-Based Medicine
5dc79bde-acf4-4b60-b7ad-5bb769def869,The Review of financial studies
i0n1fad7,Computer Science Magazine (2021)
fbd8408a-7dc6-439b-9339-55de0ba0b338,Military Medical Research
d4l9awzu,Science Review (2022)
80589aa9-0395-4460-85c2-fb59d892eeec,Health Information Science and Systems
2v9cxpt3,Computer Science Magazine (2015)
2420lij1,Computer Science Magazine (2017)
geck5ny9,Computer Science Journal (2021)
v15r4n4e,Sociology Magazine (2016)
69c55941-42d0-4d07-bc3f-9a98c51b8fe7,The International Journal of Advanced Manufacturing Technology
c2lq4wgv,Computer Science Magazine (2012)
e6f3z52d,Business Journal (2011)
krqdl0gb,Computer Science Review (2020)
5faaa538-f6a0-4867-b6f9-c0dedc4fd2de,The Information Society
228761ec-c40a-479b-8309-9dcbe9851bcd,IEEE Internet of Things Journal
4k9bbj2p,Computer Science Magazine (2021)
wjdebicu,Psychology Journal (2017)
100ffd12-b334-4f02-826b-8ac408e7df49,International Journal for Research in Applied Science and Engineering Technology
79pnn2qn,Medicine Magazine (2018)
0cc484fd-832a-417b-9c05-01adc7f7c74f,Molecular Plant
imp4lmhk,Sociology Journal (2012)
50d67c12-b49a-4957-963e-92cfbb2a86a2,Harvard Business Review
96io9wf3,Computer Science Review (2014)
458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology
ccd8e532-73c6-414f-bc91-271bbb2933e2,Electronics
7d8m3z6g,Computer Science Journal (2013)
435bb11d-c0fe-4815-b98e-46c313be8ce7,Journal of Decision Systems
uejb0xj3,Business Magazine (2021)
2e70cc37-125a-451c-b9bb-3b329f6be510,Annals of Operations Research
0534c8a0-1226-4f5b-bcf6-a13a8dd1825e,Science China Information Sciences
501d412d-8d7a-4980-ae5b-6639fe31aee2,First Monday
1f55639d-134e-44ae-b050-ccf2a6676bc5,Knowledge and Information Systems
jmfijik2,Computer Science Magazine (2020)
df12d289-f447-47d3-8846-75e39de3ab57,Neurocomputing
bjv3qeo7,Computer Science Journal (2020)
312ca99c-9149-490d-813e-c60d5e949f65,Concurrency and Computation
bimjn69u,Computer Science Magazine (2021)
ecb11fdd-9e59-482f-a3b6-0cb14372306c,IEEE Transactions on Systems Man and Cybernetics Part C (Applications and Reviews)
rpqy2uvt,Business Magazine (2016)
6b25cc59-3bb5-4b47-819e-d95ba292c4f7,Information systems research
42d10323-a02e-4422-aff9-8eaffaa46018,National Science Review
mc4mce8b,Engineering Review (2017)
8v5pbmqx,Business Review (2015)
w7juje0l,Computer Science Journal (2016)
02a4454a-84c8-471c-9b40-cc045d4f3223,Security and Communication Networks
144f954e-be01-47cf-8a42-022534bab40e,European Journal of Information Systems
7tcvlx39,Psychology Review (2020)
dftqrqyd,Computer Science Review (2014)
kby90lqu,Science Journal (2022)
ytjlv9n8,Computer Science Journal (2021)
1tn82l99,Political Science Review (2020)
c7yu6xbi,Computer Science Review (2020)
25248f80-fe99-48e5-9b8e-9baef3b8e23b,IEEE Transactions on Pattern Analysis and Machine Intelligence
v9rbb300,Science Review (2020)
472fe64a-ea91-4506-8d2d-4c9a9374e1ea,Machine Learning and Knowledge Extraction
93583f8c-9c73-46c2-854c-121deda41858,Aging & Mental Health
koiaulkh,Business Review (2009)
ede7e9cc-1657-47d5-bcf1-1ca3b056bf9d,Journal of Management Information Systems
uydv7uxk,Political Science Review (2020)
e796f0d9-1cc5-453f-91f6-38a93df7c82b,Politics
700b4a95-899e-44f2-b373-a0244ee1dd68,Operations Management Research
z64as70h,Computer Science Magazine (2013)
rrpo94vg,Engineering Review (2014)
y92nah7x,Computer Science Review (2012)
68w5mc3h,Computer Science Magazine (2016)
1zw6dbp5,Psychology Review (2007)
72b5fe45-16db-44a1-a153-b59765ebc861,Oral Oncology
aa746a02-d187-42c2-bdf9-df6a5d4e648c,Computer/law journal
93644c5d-eeed-4394-8d63-4eb9216ba3e3,Theoretical Computer Science
n08ywgvu,Engineering Review (2013)
wz3ojp2s,Computer Science Journal (2014)
cie4bk62,Computer Science Journal (2011)
yucouq0u,Political Science Review (2000)
rvum84u2,Computer Science Review (2021)
71e426hb,Engineering Review (2017)
07be6afd-ad24-4e8f-ad9b-8f87c438e56c,Diabetes
lt46842b,Computer Science Magazine (2021)
657efb9d-473f-4e6b-b416-eaa71d96e4dd,International Journal of Communication Systems
5eb1fac4-44ea-4270-b31e-3fb4dd8247cb,Technological forecasting & social change
v8w18g7y,Computer Science Journal (2012)
aqz5v3xr,Computer Science Journal (2020)
vh5xun03,Engineering Journal (2014)
e117fa7f-05b7-4dd6-b64b-0a0a7c0393d8,IEEE Transactions on Image Processing
v2j7unpu,Engineering Review (2013)
yyctceqb,Computer Science Journal (2019)
bc2801b8-b059-4ee4-be9a-cd1943f45bf3,Information Systems
ntmaf7e7,Sociology Magazine (2013)
8664a0b8-3299-4a1d-9df4-01cbfb1ed679,Computers & industrial engineering
ca4b3aef-bda7-47fe-b7e5-4f9cd6cb1947,Technometrics
iw09j06u,Mathematics Review (2017)
32vxeakj,Computer Science Journal (2020)
03aba38e-5e87-4c0d-adb2-e076868e0f0c,International Journal of Operations & Production Management
2cbc35d3-46e6-4cff-a3ba-e4af84ed8cba,JAMA ophthalmology
66520ff1-2ca9-41d3-8f35-a340e77ae8cd,Journal of Applied Science and Technology Trends
tedes9bb,Computer Science Magazine (2020)
4jt6xehk,Computer Science Magazine (2019)
55e9e67b-71d7-4257-b9aa-cdf45cd1bf6c,Human Behaviour and Brain
2a815c92-821c-4932-b60c-7785ee69acb0,Annals of Data Science
84a6a8b4-8e85-48bd-b65e-a83d83f95908,Frontiers in Pharmacology
cf480bd0-d226-4efa-b73a-7f8782486f73,Information Technology and People
p9u3hr7n,Computer Science Review (2016)
da769d11-3534-4eb1-ae4a-ebe85bc80478,Journal of business research
y9v6rgx2,Computer Science Review (2017)
5sfesxi9,Business Magazine (2016)
gpl5fmgh,Political Science Journal (2010)
yikogcb2,Computer Science Review (2019)
1e0oyxj5,Computer Science Review (2014)
5a043c67-0fbe-4167-a98f-368428298825,Cancer Epidemiology
b91i16np,Computer Science Magazine (2012)
d1d3dab3-4766-4252-8a53-823ef8fcc86d,Teaching in Higher Education
5a5c57f0-8a1a-42e5-852c-75e4a107c103,Tsinghua Science and Technology
eoc8fvxg,Computer Science Magazine (2011)
3215af4b-a40f-474d-bc19-27c154ff31a3,EURASIP Journal on Wireless Communications and Networking
yushwhtk,Computer Science Magazine (2011)
zgkrrp0i,Science Magazine (2020)
qmg2k6rj,Computer Science Review (2012)
ff31pwqx,Computer Science Journal (2014)
hr2qzbvr,Science Review (2021)
be1a2df8-f869-4f6c-82d4-6e9d3169d78c,P & T : a peer-reviewed journal for formulary management
8a3cjpyd,Computer Science Journal (2020)
7404efea-88b2-4c7c-8cb1-b3a8ced6363f,IEEE Intelligent Systems
2dc4386c-f418-4a62-a2c3-6b89b06981be,Journal of Intelligent & Fuzzy Systems
0d67273f-71c8-43f4-a642-9c384870ccb2,Circulation
fmh8eiwj,Materials Science Review (2020)
ishq5rqk,Economics Journal (2012)
yuj8triq,Computer Science Journal (2019)
gnls0yyd,Business Journal (2013)
nl3p95y4,Sociology Journal (2011)
aa254d07-8401-40bf-bc00-2e8203afca3f,Cancer Medicine
vvh7culh,Computer Science Journal (2019)
u0q1kcv8,Business Magazine (2015)
4962d060-12c6-4253-9408-91fccd768dc4,Acta Horticulturae
hnxprxvz,Computer Science Review (2019)
6d4843d0-6423-4e1e-b0cf-9083bec6bed1,Precision Agriculture
f5jtpq85,Political Science Journal (2011)
yivmkgli,Computer Science Journal (2019)
mxev3a2m,Computer Science Magazine (1964)
2jwyx6qa,Business Journal (2013)
cylalkfg,Medicine Journal (2016)
rzm4qh12,Science Magazine (2021)
m83k6u9f,Engineering Magazine (2015)
3619228e-ba09-42b2-8ba7-f0001b7768f0,International Journal of Agricultural and Environmental Information Systems
5f25a2ba-f709-4a1f-9b33-5f67b1dfe7e5,Milbank Quarterly
7d182b83-7d8d-43fb-9fd6-ae67fbafab20,Nature Cell Biology
1c050610-d32e-4c5e-bb31-82c943478e77,JBMR Plus
z8fdpdsu,Computer Science Magazine (2021)
caur0h1k,Computer Science Magazine (2012)
20e550ed-c402-42fe-b2fe-406a123e6060,Fairy Tale Review
6gpck022,Computer Science Magazine (2013)
ghxk23rf,Physics Review (2016)
fq8lb0dj,Computer Science Review (2013)
agwqag7g,Computer Science Review (2013)
4a751838-342f-44e7-a05e-42582ef23080,Journal of critical care
8h7wyrhi,Computer Science Journal (2012)
2di9tm5n,Economics Journal (2015)
2odu4kfq,Computer Science Magazine (2021)
aa4908c0-fc23-4dc5-99b3-ccc6d7c94c24,The American Economic Review
7139005d-28b8-4947-959b-02c1a51d563a,Journal of Health Psychology
98nkm5zk,Science Magazine (2020)
a072e8e2-60d9-4138-ac2b-a70259289c77,Agronomy for Sustainable Development
3bff011d-f05b-46ec-b123-beabcc2a1ba5,Molecular Systems Biology
b210fd3d-11d7-478e-a0aa-7e3d2a4f482d,IEEE Sensors Journal
g631v64i,Political Science Magazine (2015)
2fjrfczw,Business Magazine (2021)
cedmxc8a,Computer Science Magazine (2015)
3q2y06e6,Computer Science Review (2019)
b482a99f-ef53-4694-aec6-32ad78e0d716,BMC Cancer
ctbyseck,Computer Science Journal (2018)
5qmiwebm,Computer Science Magazine (2020)
60538382-994e-41df-b512-6ff16fedd7cc,Journal of Ambient Intelligence and Humanized Computing
472hkuw6,Business Magazine (2012)
8c456f98-9892-42ac-9b16-418755f01550,Frontiers in Computational Neuroscience
beq3k9xy,Computer Science Journal (2014)
d5j3o81u,Computer Science Review (2013)
wbx39htr,Engineering Journal (2015)
40kprena,Computer Science Review (2014)
ptreyy5a,Business Review (2011)
